Pressure (Pa),Enthalpy Vapor (J/kg)
2521107.134905899,2802026.399523618
2565625.198612916,2802211.535829308
2610747.1134149367,2802380.862343041
2656478.408076343,2802534.2447776427
2702824.6360771786,2802671.546977661
2749791.375692136,2802792.63087488
2797384.2300577294,2802897.3564426946
2845608.827270788,2802985.581649195
2894470.8204774624,2803057.1624090048
2943975.8879625187,2803111.952533756
2994129.7332608,2803149.803681195
3044938.0852644346,2803170.5653028456
3096406.6983362213,2803174.0845901407
3148541.3524368806,2803160.2064190465
3201347.853259417,2803128.773293007
3254832.032134866,2803079.625284241
3308999.746966446,2803012.59997323
3363856.881316128,2802927.532386412
3419409.345211695,2802824.254931919
3475663.0751617104,2802702.597333332
3532624.0343403243,2802562.3865613416
3590298.2127554277,2802403.446763227
3648691.627450948,2802225.599190056
3707810.3227096535,2802028.662121515
3767660.3702508267,2801812.450788239
3828247.869460155,2801576.7772915578
3889578.9476169366,2801321.4505205504
3951659.7601258103,2801046.2760662334
4014496.4907713206,2800751.056132835
4078095.351979563,2800435.5894459495
4142462.5850743917,2800099.671157506
4207604.460580448,2799743.092747356
4273527.2784941755,2799365.6419213573
4340237.3686006535,2798967.102505804
4407741.090786789,2798547.2543380344
4476044.835368414,2798105.8731530374
4545155.023434433,2797642.730465938
4615078.107201096,2797157.5934501034
4685820.570381892,2796650.2248107516
4757388.928567581,2796120.3826538017
4829789.729623573,2795567.8203498456
4903029.554107303,2794992.2863929174
4977115.015692416,2794393.5242539346
5052052.7616120465,2793771.2722285157
5127849.473121326,2793125.263278928
5204511.86597333,2792455.224869944
5282046.690918183,2791760.8787982813
5360460.734210476,2791041.941015358
5439760.818143771,2790298.121443089
5519953.801606664,2789529.123782328
5601046.580644081,2788734.645313678
5683046.089062149,2787914.376690279
5765959.299027676,2787068.0017222036
5849793.221720777,2786195.197152036
5934554.907980614,2785295.632421229
6020251.448990389,2784368.9694267507
6106889.976990329,2783414.8622675845
6194477.666002723,2782432.95698051
6283021.732598994,2781422.891264672
6372529.436683619,2780384.2941943067
6463008.082300505,2779316.785919016
6554465.018492972,2778219.9773509908
6646907.64016634,2777093.4698383748
6740343.38899757,2775936.854824073
6834779.754381269,2774749.7134892484
6930224.274394183,2773531.616380538
7026684.536811834,2772282.1230201856
7124168.180152459,2771000.781498025
7222682.894760326,2769687.128044358
7322236.4239351135,2768340.6865824666
7422836.565096278,2766960.9682597653
7524491.170994764,2765547.470956085
7627208.150967754,2764099.678767837
7730995.472245136,2762617.0614666035
7835861.161295463,2761099.0739303874
7941813.305242393,2759545.1555460715
8048860.053311251,2757954.729580931
